Bicentenario  2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO_UNICO;Sexo;Tramo_Edad;Eliminar la pobreza (1);Eliminar la pobreza (2);Eliminar la pobreza (3);Eliminar la pobreza (4);Ser un país desarrollado (1);Ser un país desarrollado (2);Ser un país desarrollado (3);Ser un país desarrollado (4);Detener el daño al medio ambiente (1);Detener el daño al medio ambiente (2);Detener el daño al medio ambiente (3);Detener el daño al medio ambiente (4)
225;2;1;9;9;3;9;9;9;3;9;9;9;3;9
226;2;2;9;2;9;9;9;9;3;9;9;2;9;9
227;1;5;9;9;3;9;9;9;3;9;9;9;3;9
228;2;1;9;2;9;9;9;9;9;4;9;9;3;9
229;1;3;1;9;9;9;1;9;9;9;1;9;9;9
230;2;4;9;2;9;9;9;2;9;9;9;2;9;9
231;1;4;9;9;3;9;9;9;3;9;9;2;9;9
232;2;4;9;9;3;9;9;9;3;9;9;9;3;9
233;2;2;9;2;9;9;9;2;9;9;9;2;9;9
234;2;4;9;9;3;9;9;9;3;9;9;2;9;9
235;1;2;9;9;3;9;9;9;3;9;9;9;3;9
236;2;5;9;2;9;9;9;9;3;9;9;9;3;9
237;2;3;9;9;3;9;9;9;3;9;9;9;3;9
238;1;1;9;9;3;9;9;9;3;9;9;9;3;9
239;1;4;9;2;9;9;9;2;9;9;1;9;9;9
240;2;5;9;2;9;9;9;2;9;9;9;2;9;9
241;1;1;9;9;3;9;9;9;3;9;9;9;3;9
242;1;4;9;9;3;9;9;2;9;9;9;2;9;9
243;2;1;9;9;3;9;9;2;9;9;9;2;9;9
244;1;5;9;2;9;9;9;2;9;9;9;2;9;9
245;2;3;9;2;9;9;9;2;9;9;1;9;9;9
246;2;2;9;2;9;9;9;2;9;9;1;9;9;9
247;2;4;1;9;9;9;1;9;9;9;1;9;9;9
248;1;2;9;9;3;9;9;9;3;9;9;9;3;9
249;2;1;1;9;9;9;9;2;9;9;1;9;9;9
250;1;1;9;9;3;9;9;9;3;9;9;2;9;9
251;2;2;9;9;3;9;9;9;3;9;9;9;3;9
252;1;5;1;9;9;9;9;2;9;9;9;2;9;9
253;2;5;9;9;3;9;9;2;9;9;9;9;3;9
254;1;3;9;2;9;9;9;9;3;9;9;2;9;9
255;2;3;9;9;3;9;9;9;3;9;9;9;3;9
256;2;4;9;9;3;9;9;9;3;9;9;9;3;9
257;2;1;1;9;9;9;9;2;9;9;9;2;9;9
258;2;3;9;9;3;9;9;9;3;9;9;9;3;9
259;1;4;9;9;3;9;9;9;3;9;9;9;3;9
260;1;2;9;2;9;9;9;2;9;9;9;2;9;9
261;1;1;9;9;3;9;9;9;3;9;9;9;3;9
262;1;4;9;2;9;9;9;9;3;9;9;9;3;9
263;2;4;9;2;9;9;9;2;9;9;1;9;9;9
264;2;5;9;9;3;9;9;2;9;9;9;9;3;9
265;2;3;9;2;9;9;9;2;9;9;9;2;9;9
266;1;2;9;2;9;9;1;9;9;9;9;2;9;9
267;2;3;9;2;9;9;9;2;9;9;1;9;9;9
268;1;2;9;9;3;9;9;9;9;4;9;9;3;9
269;1;2;9;9;3;9;9;9;3;9;9;9;3;9
270;1;2;9;2;9;9;1;9;9;9;9;2;9;9
271;2;3;9;2;9;9;9;9;3;9;9;2;9;9
272;2;2;9;2;9;9;9;9;3;9;9;9;3;9
273;1;2;9;2;9;9;9;2;9;9;9;9;3;9
274;2;4;9;2;9;9;9;2;9;9;1;9;9;9
275;2;2;9;2;9;9;9;2;9;9;1;9;9;9
276;1;4;9;2;9;9;9;2;9;9;9;9;3;9
277;1;4;9;2;9;9;9;2;9;9;9;2;9;9
278;2;3;9;2;9;9;9;2;9;9;9;2;9;9
279;1;2;1;9;9;9;1;9;9;9;1;9;9;9
280;2;4;9;2;9;9;9;9;3;9;9;2;9;9
281;2;1;9;2;9;9;9;9;3;9;1;9;9;9
282;2;3;9;2;9;9;9;2;9;9;9;2;9;9
283;2;3;9;2;9;9;9;2;9;9;9;2;9;9
284;1;5;9;9;3;9;9;9;3;9;9;2;9;9
285;2;2;9;2;9;9;9;9;3;9;9;9;3;9
286;2;5;1;9;9;9;9;2;9;9;9;9;3;9
287;1;4;9;2;9;9;9;9;3;9;9;9;3;9
288;2;2;9;2;9;9;9;2;9;9;9;2;9;9
289;2;1;9;9;3;9;9;2;9;9;9;9;9;4
290;2;4;9;2;9;9;9;2;9;9;9;9;3;9
291;2;4;9;9;3;9;9;9;3;9;9;9;3;9
292;1;2;1;9;9;9;9;2;9;9;1;9;9;9
293;1;3;9;2;9;9;9;9;3;9;9;9;3;9
294;1;5;1;9;9;9;1;9;9;9;1;9;9;9
295;1;3;1;9;9;9;1;9;9;9;1;9;9;9
296;1;1;9;9;3;9;9;9;3;9;9;9;3;9
297;1;1;9;9;3;9;9;2;9;9;9;2;9;9
298;2;4;9;9;3;9;9;9;3;9;9;9;3;9
299;2;3;9;9;3;9;9;9;3;9;1;9;9;9
300;2;5;9;9;3;9;9;2;9;9;9;2;9;9
301;1;1;9;9;3;9;9;9;9;4;9;2;9;9
302;2;4;9;2;9;9;9;9;3;9;9;9;3;9
303;2;3;9;2;9;9;9;2;9;9;1;9;9;9
304;1;4;9;9;3;9;9;9;3;9;9;9;3;9
305;1;3;9;2;9;9;9;9;3;9;9;9;3;9
306;2;3;9;9;3;9;9;9;3;9;1;9;9;9
307;1;4;9;9;3;9;9;2;9;9;9;9;9;4
308;2;3;1;9;9;9;9;2;9;9;9;9;3;9
309;1;2;9;9;3;9;9;9;3;9;1;9;9;9
310;1;5;9;2;9;9;9;9;9;4;9;9;9;4
311;2;5;9;9;3;9;9;9;3;9;9;9;3;9
312;2;5;9;9;3;9;9;9;3;9;9;9;3;9
313;1;5;9;2;9;9;9;2;9;9;1;9;9;9
314;1;3;9;2;9;9;9;2;9;9;9;2;9;9
315;1;1;9;9;3;9;9;9;3;9;9;2;9;9
316;1;3;9;2;9;9;9;2;9;9;9;2;9;9
317;2;3;9;2;9;9;9;2;9;9;1;9;9;9
318;2;3;9;9;3;9;9;9;3;9;9;9;3;9
319;1;1;1;9;9;9;9;2;9;9;1;9;9;9
320;2;2;9;2;9;9;1;9;9;9;9;2;9;9
321;2;2;9;9;3;9;9;9;3;9;9;9;3;9
322;2;3;9;2;9;9;9;2;9;9;9;2;9;9
323;1;3;9;9;3;9;9;9;3;9;9;9;3;9
324;2;2;9;2;9;9;9;9;3;9;1;9;9;9
325;2;3;9;2;9;9;9;2;9;9;9;9;3;9
326;2;4;9;2;9;9;9;9;3;9;9;2;9;9
327;1;2;9;2;9;9;9;9;3;9;9;9;3;9
328;2;3;9;2;9;9;9;2;9;9;9;2;9;9
329;1;3;9;2;9;9;9;9;3;9;9;2;9;9
330;1;2;9;2;9;9;9;2;9;9;9;2;9;9
331;2;3;9;9;3;9;9;9;3;9;9;9;3;9
332;2;3;9;2;9;9;9;2;9;9;1;9;9;9
333;2;4;9;2;9;9;9;2;9;9;9;2;9;9
334;2;2;9;2;9;9;9;2;9;9;1;9;9;9
335;1;3;9;2;9;9;9;2;9;9;9;2;9;9
336;2;3;1;9;9;9;9;2;9;9;9;9;3;9
337;2;3;9;2;9;9;9;9;3;9;9;2;9;9
338;2;3;9;2;9;9;9;2;9;9;9;2;9;9
339;2;3;9;2;9;9;9;2;9;9;1;9;9;9
340;2;1;9;2;9;9;9;2;9;9;9;2;9;9
341;1;3;9;2;9;9;9;9;3;9;9;2;9;9
342;2;3;9;2;9;9;9;2;9;9;9;2;9;9
343;1;3;9;2;9;9;9;9;3;9;9;2;9;9
344;1;3;9;2;9;9;9;9;3;9;1;9;9;9
345;2;3;9;2;9;9;9;2;9;9;9;2;9;9
346;1;1;9;2;9;9;9;2;9;9;9;2;9;9
347;2;4;9;2;9;9;9;2;9;9;9;9;3;9
348;2;4;1;9;9;9;9;2;9;9;9;2;9;9
349;1;5;1;9;9;9;9;2;9;9;9;2;9;9
350;1;3;9;2;9;9;9;2;9;9;1;9;9;9
351;1;3;9;9;3;9;9;9;3;9;9;2;9;9
352;2;2;9;9;3;9;9;9;3;9;9;9;9;4
353;1;3;9;2;9;9;9;9;3;9;1;9;9;9
354;1;1;9;2;9;9;9;2;9;9;1;9;9;9
355;2;3;9;9;3;9;9;2;9;9;9;9;3;9
356;1;5;9;2;9;9;9;9;3;9;9;2;9;9
357;2;3;9;9;3;9;9;9;3;9;9;2;9;9
358;1;4;9;2;9;9;9;9;3;9;9;9;3;9
359;2;1;9;9;3;9;9;9;3;9;9;2;9;9
360;1;5;9;9;3;9;9;2;9;9;9;9;3;9
361;2;2;9;2;9;9;9;2;9;9;9;2;9;9
362;1;3;1;9;9;9;9;9;3;9;1;9;9;9
363;1;3;9;2;9;9;1;9;9;9;9;9;3;9
364;1;2;9;2;9;9;9;2;9;9;9;9;3;9
365;2;5;9;9;3;9;9;9;3;9;9;9;3;9
366;1;3;1;9;9;9;9;9;3;9;1;9;9;9
367;2;5;9;2;9;9;9;2;9;9;9;2;9;9
368;2;5;1;9;9;9;1;9;9;9;1;9;9;9
369;1;3;9;2;9;9;9;9;3;9;9;2;9;9
370;2;3;9;2;9;9;9;9;3;9;9;2;9;9
371;1;4;9;2;9;9;9;2;9;9;9;2;9;9
372;2;3;9;9;3;9;9;2;9;9;9;9;3;9
373;2;4;9;9;3;9;9;9;3;9;9;2;9;9
374;2;4;9;2;9;9;9;2;9;9;9;2;9;9
375;2;2;1;9;9;9;9;2;9;9;9;9;3;9
376;2;2;9;9;3;9;9;9;3;9;9;9;3;9
377;2;2;9;2;9;9;9;2;9;9;9;2;9;9
378;2;2;9;9;3;9;9;9;3;9;9;2;9;9
379;1;1;9;9;3;9;9;9;9;4;9;9;9;4
380;2;1;9;2;9;9;1;9;9;9;9;9;3;9
381;1;5;9;9;3;9;9;9;3;9;9;9;3;9
382;2;5;9;2;9;9;9;2;9;9;9;2;9;9
383;2;4;9;9;3;9;9;9;3;9;9;9;3;9
384;2;3;9;2;9;9;9;9;3;9;9;9;3;9
385;2;5;9;2;9;9;9;2;9;9;9;2;9;9
386;1;5;9;9;3;9;9;9;9;4;9;9;9;4
387;2;3;9;2;9;9;9;9;3;9;9;9;3;9
388;2;1;9;9;3;9;9;2;9;9;1;9;9;9
