Bicentenario 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO;SEXO;Tramo edad;S1.-Eliminar la pobreza 1;S1.-Eliminar la pobreza 2;S1.-Eliminar la pobreza 3;S1.-Eliminar la pobreza 4;S2.-Ser un país desarrollado 1;S2.-Ser un país desarrollado 2;S2.-Ser un país desarrollado 3;S2.-Ser un país desarrollado 4;S3.-Detener el daño al medio ambiente 1;S3.-Detener el daño al medio ambiente 2;S3.-Detener el daño al medio ambiente 3;S3.-Detener el daño al medio ambiente 4
199;Mujer;1;9;2;9;9;9;9;3;9;1;9;9;9
200;Mujer;4;9;2;9;9;9;9;3;9;9;2;9;9
201;Mujer;3;9;9;3;9;9;9;3;9;9;9;3;9
202;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
203;Mujer;1;9;2;9;9;1;9;9;9;9;9;3;9
204;Hombre;2;9;9;3;9;9;2;9;9;1;9;9;9
205;Hombre;1;9;9;3;9;9;9;3;9;9;9;3;9
206;Mujer;3;9;2;9;9;9;9;3;9;9;9;3;9
207;Hombre;2;9;9;3;9;9;9;3;9;9;9;3;9
208;Mujer;2;1;9;9;9;9;9;3;9;1;9;9;9
209;Mujer;5;1;9;9;9;1;9;9;9;1;9;9;9
210;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
211;Mujer;2;9;2;9;9;9;2;9;9;9;2;9;9
212;Mujer;2;9;2;9;9;9;2;9;9;9;2;9;9
213;Mujer;2;1;9;9;9;9;9;3;9;1;9;9;9
214;Hombre;2;1;9;9;9;9;2;9;9;1;9;9;9
215;Mujer;4;9;2;9;9;9;2;9;9;9;2;9;9
216;Mujer;4;1;9;9;9;1;9;9;9;9;2;9;9
217;Hombre;1;9;2;9;9;9;2;9;9;9;9;3;9
218;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
219;Mujer;5;9;9;3;9;9;2;9;9;1;9;9;9
220;Hombre;2;9;9;3;9;9;9;3;9;9;2;9;9
221;Hombre;5;1;9;9;9;1;9;9;9;1;9;9;9
222;Hombre;1;9;9;3;9;9;9;3;9;9;9;3;9
223;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
224;Hombre;5;9;2;9;9;9;9;3;9;9;9;3;9
225;Hombre;3;9;9;3;9;9;9;3;9;9;9;3;9
226;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
227;Mujer;5;9;9;3;9;9;9;3;9;9;2;9;9
228;Mujer;5;9;9;3;9;9;9;3;9;9;2;9;9
229;Hombre;5;9;9;3;9;9;2;9;9;9;9;3;9
230;Mujer;5;9;2;9;9;9;2;9;9;9;9;3;9
231;Mujer;5;1;9;9;9;9;2;9;9;1;9;9;9
232;Mujer;5;1;9;9;9;9;2;9;9;9;9;3;9
233;Mujer;1;9;9;3;9;9;2;9;9;1;9;9;9
235;Hombre;4;9;9;3;9;9;2;9;9;9;2;9;9
236;Hombre;4;9;2;9;9;9;2;9;9;9;2;9;9
237;Mujer;4;9;2;9;9;9;9;3;9;1;9;9;9
238;Hombre;1;9;9;3;9;9;9;3;9;9;2;9;9
239;Hombre;5;1;9;9;9;9;2;9;9;1;9;9;9
240;Hombre;1;9;2;9;9;9;9;3;9;1;9;9;9
241;Hombre;5;1;9;9;9;9;2;9;9;1;9;9;9
242;Hombre;4;9;9;9;4;9;9;9;4;9;9;9;4
243;Hombre;5;9;2;9;9;9;2;9;9;9;9;3;9
244;Mujer;5;1;9;9;9;1;9;9;9;1;9;9;9
245;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
246;Mujer;4;1;9;9;9;9;2;9;9;9;9;3;9
247;Hombre;4;9;2;9;9;9;2;9;9;1;9;9;9
248;Mujer;5;9;9;3;9;9;9;3;9;1;9;9;9
249;Mujer;4;9;2;9;9;9;2;9;9;1;9;9;9
250;Mujer;5;9;9;3;9;9;2;9;9;1;9;9;9
251;Hombre;4;9;9;3;9;9;9;3;9;1;9;9;9
252;Mujer;4;9;2;9;9;9;2;9;9;1;9;9;9
253;Hombre;1;9;2;9;9;9;9;3;9;1;9;9;9
254;Mujer;3;1;9;9;9;9;2;9;9;9;2;9;9
255;Hombre;5;9;2;9;9;9;2;9;9;1;9;9;9
256;Hombre;1;9;2;9;9;9;2;9;9;1;9;9;9
257;Mujer;2;9;2;9;9;1;9;9;9;9;9;3;9
258;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
259;Mujer;2;9;2;9;9;9;9;3;9;1;9;9;9
260;Mujer;4;9;9;3;9;9;9;3;9;9;9;3;9
261;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
262;Hombre;5;9;2;9;9;9;9;3;9;9;2;9;9
263;Hombre;2;9;2;9;9;9;2;9;9;1;9;9;9
264;Hombre;1;9;2;9;9;9;2;9;9;9;2;9;9
265;Hombre;5;9;2;9;9;9;9;3;9;9;2;9;9
266;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
267;Hombre;4;9;9;3;9;9;9;3;9;9;2;9;9
268;Hombre;3;9;2;9;9;9;9;3;9;9;2;9;9
269;Hombre;2;9;9;3;9;9;9;3;9;9;2;9;9
270;Hombre;5;9;9;3;9;9;2;9;9;9;2;9;9
271;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
272;Hombre;5;9;2;9;9;9;2;9;9;9;9;3;9
274;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
275;Hombre;2;9;9;3;9;9;2;9;9;1;9;9;9
276;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
277;Mujer;5;9;2;9;9;9;9;3;9;9;9;3;9
278;Hombre;5;9;9;3;9;9;2;9;9;9;2;9;9
279;Mujer;4;1;9;9;9;9;2;9;9;1;9;9;9
280;Mujer;5;1;9;9;9;1;9;9;9;1;9;9;9
281;Hombre;4;9;2;9;9;9;2;9;9;1;9;9;9
282;Hombre;4;9;9;3;9;9;9;3;9;1;9;9;9
283;Hombre;5;1;9;9;9;9;2;9;9;1;9;9;9
284;Mujer;5;9;2;9;9;9;2;9;9;9;9;3;9
285;Mujer;2;1;9;9;9;9;2;9;9;1;9;9;9
286;Mujer;4;1;9;9;9;1;9;9;9;9;9;3;9
287;Mujer;5;9;2;9;9;1;9;9;9;9;9;9;4
288;Mujer;5;9;2;9;9;1;9;9;9;9;2;9;9
289;Hombre;3;9;9;3;9;9;9;3;9;9;9;3;9
290;Mujer;2;9;9;3;9;9;9;3;9;9;2;9;9
291;Mujer;4;9;9;3;9;9;2;9;9;9;9;9;9
292;Mujer;3;9;9;3;9;9;9;3;9;9;2;9;9
293;Hombre;1;9;2;9;9;9;9;3;9;9;2;9;9
294;Mujer;3;9;2;9;9;9;9;3;9;1;9;9;9
295;Mujer;4;1;9;9;9;1;9;9;9;1;9;9;9
296;Hombre;3;1;9;9;9;9;2;9;9;1;9;9;9
297;Mujer;3;9;9;3;9;9;2;9;9;9;2;9;9
298;Mujer;4;1;9;9;9;1;9;9;9;9;9;3;9
299;Mujer;1;9;9;3;9;9;9;9;4;1;9;9;9
300;Hombre;4;9;2;9;9;9;9;3;9;9;9;3;9
301;Mujer;3;9;2;9;9;9;2;9;9;9;9;3;9
302;Mujer;4;1;9;9;9;9;2;9;9;9;9;3;9
303;Hombre;4;1;9;9;9;9;2;9;9;9;9;3;9
304;Mujer;5;9;2;9;9;9;2;9;9;1;9;9;9
305;Hombre;1;9;9;3;9;9;9;3;9;9;9;9;4
306;Hombre;5;9;2;9;9;9;9;3;9;9;9;9;9
307;Mujer;5;9;9;9;4;9;9;3;9;9;9;9;9
308;Mujer;5;9;2;9;9;1;9;9;9;1;9;9;9
309;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
310;Hombre;4;9;2;9;9;9;9;3;9;9;9;3;9
311;Mujer;2;9;2;9;9;9;9;3;9;9;9;3;9
312;Hombre;3;9;2;9;9;9;9;3;9;9;9;3;9
313;Hombre;5;9;2;9;9;9;9;3;9;9;9;3;9
314;Mujer;5;9;2;9;9;9;2;9;9;1;9;9;9
315;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
316;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
317;Mujer;5;9;2;9;9;1;9;9;9;1;9;9;9
318;Mujer;1;9;2;9;9;9;2;9;9;1;9;9;9
319;Hombre;3;9;2;9;9;9;9;9;4;1;9;9;9
320;Hombre;1;1;9;9;9;9;9;9;4;9;2;9;9
321;Hombre;5;9;2;9;9;9;9;9;4;9;9;9;4
322;Hombre;4;1;9;9;9;9;9;9;4;9;9;9;4
323;Hombre;4;9;2;9;9;9;9;9;4;1;9;9;9
324;Mujer;5;9;9;9;4;9;9;3;9;9;2;9;9
325;Mujer;5;1;9;9;9;9;9;3;9;9;2;9;9
326;Mujer;1;9;9;9;4;9;2;9;9;1;9;9;9
327;Mujer;5;1;9;9;9;9;9;3;9;9;2;9;9
328;Mujer;2;9;9;3;9;9;9;3;9;9;2;9;9
329;Hombre;2;9;9;3;9;9;9;9;4;9;9;9;4
330;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
331;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
332;Mujer;5;9;2;9;9;9;9;3;9;9;9;3;9
333;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
334;Hombre;4;9;9;3;9;9;9;3;9;9;9;3;9
335;Mujer;5;1;9;9;9;9;2;9;9;9;2;9;9
336;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
337;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
338;Mujer;4;9;9;3;9;9;9;3;9;9;2;9;9
339;Hombre;2;9;2;9;9;9;2;9;9;9;2;9;9
340;Mujer;1;9;2;9;9;9;2;9;9;9;9;3;9
341;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
342;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
343;Hombre;2;9;2;9;9;9;2;9;9;9;2;9;9
344;Hombre;5;1;9;9;9;9;9;3;9;9;2;9;9
345;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
346;Mujer;2;9;2;9;9;9;9;3;9;9;9;3;9
347;Mujer;4;9;9;3;9;9;2;9;9;9;9;3;9
348;Hombre;5;9;9;3;9;9;2;9;9;9;9;3;9
349;Mujer;3;9;9;3;9;9;9;3;9;9;9;9;9
